"panel","fpr","tpr","threshold"
"Panel_A_original",1,1,-Inf
"Panel_A_original",0.8125,1,0.00132978723404255
"Panel_A_original",0.791666666666667,1,0.00266312056737589
"Panel_A_original",0.75,1,0.00267381590705987
"Panel_A_original",0.729166666666667,1,0.00275691316862739
"Panel_A_original",0.708333333333333,1,0.00287841889899442
"Panel_A_original",0.6875,1,0.00414295345154665
"Panel_A_original",0.666666666666667,1,0.00540576078778006
"Panel_A_original",0.645833333333333,1,0.00550257341810475
"Panel_A_original",0.625,1,0.00561063896757948
"Panel_A_original",0.604166666666667,1,0.00580905166599218
"Panel_A_original",0.583333333333333,1,0.00696555217831814
"Panel_A_original",0.5625,1,0.0080654486586494
"Panel_A_original",0.541666666666667,1,0.00824275362318841
"Panel_A_original",0.520833333333333,1,0.00973769730733519
"Panel_A_original",0.5,1,0.0113016896664565
"Panel_A_original",0.479166666666667,1,0.0114943477865949
"Panel_A_original",0.458333333333333,1,0.0115607902100823
"Panel_A_original",0.4375,1,0.0118946624248851
"Panel_A_original",0.416666666666667,1,0.0123947901947533
"Panel_A_original",0.395833333333333,1,0.0129461653893563
"Panel_A_original",0.375,1,0.013731089144717
"Panel_A_original",0.354166666666667,1,0.0170821529745043
"Panel_A_original",0.333333333333333,1,0.0220320855614973
"Panel_A_original",0.3125,1,0.0248525983820101
"Panel_A_original",0.291666666666667,1,0.0259784075573549
"Panel_A_original",0.270833333333333,1,0.027046783625731
"Panel_A_original",0.25,1,0.0292735042735043
"Panel_A_original",0.229166666666667,1,0.0337573187966889
"Panel_A_original",0.208333333333333,1,0.039381106773418
"Panel_A_original",0.1875,1,0.0425273907031167
"Panel_A_original",0.166666666666667,1,0.0552433275177252
"Panel_A_original",0.145833333333333,1,0.0715621780137909
"Panel_A_original",0.125,1,0.0773858604367079
"Panel_A_original",0.104166666666667,1,0.0894132517093822
"Panel_A_original",0.0833333333333334,1,0.112535528838033
"Panel_A_original",0.0625,1,0.208946895472201
"Panel_A_original",0.0416666666666666,1,0.41753759281213
"Panel_A_original",0.0416666666666666,0.979166666666667,0.544114182663016
"Panel_A_original",0.0416666666666666,0.958333333333333,0.593063159348849
"Panel_A_original",0.0208333333333334,0.958333333333333,0.652188293536479
"Panel_A_original",0.0208333333333334,0.9375,0.676001643398358
"Panel_A_original",0.0208333333333334,0.916666666666667,0.688895118486955
"Panel_A_original",0.0208333333333334,0.895833333333333,0.732371794871795
"Panel_A_original",0.0208333333333334,0.875,0.797826086956522
"Panel_A_original",0.0208333333333334,0.854166666666667,0.832065217391304
"Panel_A_original",0.0208333333333334,0.833333333333333,0.848331928218716
"Panel_A_original",0.0208333333333334,0.8125,0.856486977678113
"Panel_A_original",0.0208333333333334,0.791666666666667,0.874949124949125
"Panel_A_original",0.0208333333333334,0.770833333333333,0.905924510272336
"Panel_A_original",0.0208333333333334,0.75,0.931922196796339
"Panel_A_original",0.0208333333333334,0.729166666666667,0.94398710451342
"Panel_A_original",0.0208333333333334,0.708333333333333,0.956630125108386
"Panel_A_original",0.0208333333333334,0.6875,0.968989769820972
"Panel_A_original",0.0208333333333334,0.666666666666667,0.972931480284421
"Panel_A_original",0.0208333333333334,0.645833333333333,0.975637362637363
"Panel_A_original",0.0208333333333334,0.625,0.976126649076517
"Panel_A_original",0.0208333333333334,0.604166666666667,0.978431358217791
"Panel_A_original",0.0208333333333334,0.583333333333333,0.98482525708648
"Panel_A_original",0,0.583333333333333,0.98908576533651
"Panel_A_original",0,0.5625,0.989329615297063
"Panel_A_original",0,0.541666666666667,0.990847948819597
"Panel_A_original",0,0.520833333333333,0.993290254824453
"Panel_A_original",0,0.5,0.994642601346512
"Panel_A_original",0,0.479166666666667,0.996109637488948
"Panel_A_original",0,0.458333333333333,0.997394967674534
"Panel_A_original",0,0.4375,0.997455404836673
"Panel_A_original",0,0.416666666666667,0.99873417721519
"Panel_A_original",0,0,Inf
"Panel_B_generalised",1,1,-Inf
"Panel_B_generalised",0.729166666666667,1,0.00131233595800525
"Panel_B_generalised",0.708333333333333,1,0.00265281853173179
"Panel_B_generalised",0.6875,1,0.00271034558742517
"Panel_B_generalised",0.666666666666667,1,0.00279031755915318
"Panel_B_generalised",0.645833333333333,1,0.00401785714285714
"Panel_B_generalised",0.625,1,0.00529282038716001
"Panel_B_generalised",0.604166666666667,1,0.00546550089225049
"Panel_B_generalised",0.583333333333333,1,0.00558698451094378
"Panel_B_generalised",0.5625,1,0.00566590425745355
"Panel_B_generalised",0.541666666666667,1,0.00683836455113051
"Panel_B_generalised",0.520833333333333,1,0.0095142235805807
"Panel_B_generalised",0.5,1,0.0111586646953544
"Panel_B_generalised",0.479166666666667,1,0.011962916740952
"Panel_B_generalised",0.458333333333333,1,0.013391260816706
"Panel_B_generalised",0.4375,1,0.0149986548291633
"Panel_B_generalised",0.416666666666667,1,0.0162698412698413
"Panel_B_generalised",0.395833333333333,1,0.0168803418803419
"Panel_B_generalised",0.375,1,0.018006468006468
"Panel_B_generalised",0.354166666666667,1,0.0212395641715013
"Panel_B_generalised",0.333333333333333,1,0.0268074271164135
"Panel_B_generalised",0.3125,1,0.0313760962463334
"Panel_B_generalised",0.291666666666667,1,0.0348146829328709
"Panel_B_generalised",0.270833333333333,1,0.0383598082951531
"Panel_B_generalised",0.25,1,0.0402191024562766
"Panel_B_generalised",0.229166666666667,1,0.0426715719671163
"Panel_B_generalised",0.208333333333333,1,0.0461558925246076
"Panel_B_generalised",0.1875,1,0.0480952380952381
"Panel_B_generalised",0.166666666666667,1,0.049010989010989
"Panel_B_generalised",0.145833333333333,1,0.0518681318681319
"Panel_B_generalised",0.125,1,0.0560902255639098
"Panel_B_generalised",0.104166666666667,1,0.0713876867234399
"Panel_B_generalised",0.0833333333333334,1,0.121455862343838
"Panel_B_generalised",0.0625,1,0.169156389111873
"Panel_B_generalised",0.0416666666666666,1,0.359371614301192
"Panel_B_generalised",0.0416666666666666,0.979166666666667,0.584657766475948
"Panel_B_generalised",0.0416666666666666,0.958333333333333,0.658327299359983
"Panel_B_generalised",0.0208333333333334,0.958333333333333,0.707765166979669
"Panel_B_generalised",0,0.958333333333333,0.737568276938356
"Panel_B_generalised",0,0.9375,0.774342756335786
"Panel_B_generalised",0,0.916666666666667,0.815203174049529
"Panel_B_generalised",0,0.895833333333333,0.838705072725087
"Panel_B_generalised",0,0.875,0.853325524780671
"Panel_B_generalised",0,0.854166666666667,0.87655384706021
"Panel_B_generalised",0,0.833333333333333,0.905433277128749
"Panel_B_generalised",0,0.8125,0.925982630830276
"Panel_B_generalised",0,0.791666666666667,0.939895172217072
"Panel_B_generalised",0,0.770833333333333,0.945910290237467
"Panel_B_generalised",0,0.729166666666667,0.95232765396059
"Panel_B_generalised",0,0.708333333333333,0.958267933961167
"Panel_B_generalised",0,0.6875,0.965293580395981
"Panel_B_generalised",0,0.666666666666667,0.970530374567202
"Panel_B_generalised",0,0.645833333333333,0.972449908925319
"Panel_B_generalised",0,0.625,0.97397616045157
"Panel_B_generalised",0,0.604166666666667,0.976401407581183
"Panel_B_generalised",0,0.583333333333333,0.97812574707148
"Panel_B_generalised",0,0.5625,0.981425194191152
"Panel_B_generalised",0,0.541666666666667,0.98466704235935
"Panel_B_generalised",0,0.520833333333333,0.985314920558249
"Panel_B_generalised",0,0.5,0.985464993450796
"Panel_B_generalised",0,0.479166666666667,0.985770382964942
"Panel_B_generalised",0,0.458333333333333,0.986223281515667
"Panel_B_generalised",0,0.4375,0.987635491098462
"Panel_B_generalised",0,0.416666666666667,0.989081375776444
"Panel_B_generalised",0,0.395833333333333,0.99016138845304
"Panel_B_generalised",0,0.375,0.991259690251226
"Panel_B_generalised",0,0.354166666666667,0.991629829094418
"Panel_B_generalised",0,0.333333333333333,0.991780760223383
"Panel_B_generalised",0,0.3125,0.992025670352014
"Panel_B_generalised",0,0.291666666666667,0.993283121916843
"Panel_B_generalised",0,0.270833333333333,0.994485294117647
"Panel_B_generalised",0,0.25,0.994680700563053
"Panel_B_generalised",0,0.229166666666667,0.995925925925926
"Panel_B_generalised",0,0.208333333333333,0.997212732919255
"Panel_B_generalised",0,0.1875,0.998641304347826
"Panel_B_generalised",0,0,Inf
